SYM_ROOT,DATE,pre_market_volume,post_market_volume,DAY_OF_WEEK,OPEN,HIGH,LOW,CLOSE,VOLUME,pre_market_price_mean,post_market_price_mean,pre_market_price_std,post_market_price_std,pre_market_price_min,post_market_price_min,pre_market_price_max,post_market_price_max
AAPL,2019-05-03,1321046.0,5202892.0,Friday,50.51736190623424,50.74492765038077,50.35926221466652,50.72336959838867,83569600.0,211.75848661399547,210.7114634726545,0.0600941674979755,0.3912194035560359,211.59,209.15,212.0,211.4799
AAPL,2019-05-06,3283398.0,4678405.0,Monday,48.93635622070355,50.02628023785424,48.74711840126707,49.94004440307617,129772400.0,208.0628648973954,204.6927705889772,0.7420373848573586,0.851644725526784,201.9308,203.5,208.7301,211.75
AAPL,2019-05-07,1292880.0,7079129.0,Tuesday,49.31723367392087,49.68612918075608,48.10753785766462,48.59381103515625,155054800.0,202.8145451568895,206.2511073336825,0.1206107219984608,0.4946707841869749,202.21,205.7,204.515,208.48
AAPL,2019-05-08,1527695.0,5446289.0,Wednesday,48.36385755349484,49.18788822753808,48.32792747096506,48.60340118408203,105358000.0,203.0290472888061,202.08808823692607,0.1143077708571382,0.6847245105415274,202.88,200.7,203.8899,204.27
AAPL,2019-05-09,2237758.0,3145499.0,Thursday,48.00454011821773,48.31115566025096,47.10864931624228,48.08119583129883,139634400.0,200.59000053538173,199.94054461934311,0.1371616375980454,0.7417531833039731,197.29,198.76,202.9,202.9
AAPL,2019-05-10,1578041.0,5959911.0,Friday,47.47281327802477,47.81668168190276,46.354647468891045,47.41510009765625,164834800.0,197.1262553859025,197.91904685738444,0.0988278106704016,0.6893334711505402,195.6761,197.01,197.3,200.72
AAPL,2019-05-13,4880232.0,9976444.0,Monday,45.137891635823976,45.56351397580666,43.96922628473015,44.65936279296875,229722400.0,185.55262844692737,188.33333253576404,0.3104097828343721,1.737006278898887,184.23,186.0,187.0,197.18
AAPL,2019-05-14,2220559.0,7366784.0,Tuesday,44.82529184863322,45.61642379613462,44.58482572037819,45.36634063720703,146118800.0,188.65943586233868,186.77676336,0.1033327393098125,0.5092371690468567,187.881,185.72,189.32,188.339
AAPL,2019-05-15,1284407.0,4201062.0,Wednesday,44.79162407678541,46.10937735396515,44.73150754829263,45.9097900390625,106178800.0,190.8644860350727,186.87924665891924,0.1660216373490161,0.756090051207325,187.5067,186.01,191.32,189.69
AAPL,2019-05-16,1558670.0,6856242.0,Thursday,45.66691920631592,46.282511852423546,45.40961871090756,45.70779800415039,132125600.0,189.9939420175931,190.18537984269253,0.0823599659449377,0.7550001006992836,186.912,189.27,190.6733,191.85
AAPL,2019-05-17,2477700.0,6063087.0,Friday,44.950326820447415,45.9049775417883,44.9094480232914,45.44809341430664,131516400.0,189.03259178124048,187.20299103117503,0.1060946495371539,0.510221502101492,187.6806,186.38,189.35,190.55
AAPL,2019-05-20,2610735.0,7100733.0,Monday,44.13034937515096,44.32993672221793,43.35123771940764,44.026947021484375,154449200.0,183.1355764943302,183.86453696860147,0.1280436579682169,1.241907971238856,180.37,182.41,183.57,189.88
AAPL,2019-05-21,1583358.0,7138973.0,Tuesday,44.53914246341603,45.20763809489854,44.41409903279254,44.87098693847656,113459200.0,186.5188038107753,185.06314450893535,0.5147369535104468,0.3424721363707525,150.27,183.09,189.0,185.88
AAPL,2019-05-22,1039377.0,4929179.0,Wednesday,44.40448157296069,44.65697177245535,43.89709783331378,43.9524040222168,118994400.0,182.66927717438335,184.6186428948973,0.1135228636330722,0.4773377864924138,182.18,183.18,183.7108,186.95
